date,nav
2018-03-28,12.22
2018-03-29,12.21
2018-04-03,12.2
2018-04-04,12.21
2018-04-05,12.32
2018-04-06,12.3
2018-04-09,12.36
2018-04-10,12.46
2018-04-11,12.48
2018-04-12,12.36
2018-04-13,12.55
2018-04-16,12.56
2018-04-17,12.47
2018-04-18,12.58
2018-04-19,12.66
2018-04-20,12.72
2018-04-23,12.81
2018-04-24,13.02
2018-04-25,13.01
2018-04-26,12.94
2018-04-27,12.91
2018-05-02,12.88
2018-05-07,12.83
2018-05-08,12.85
2018-05-09,12.78
2018-05-11,12.91
2018-05-14,12.99
2018-05-15,13.05
2018-05-16,13.03
2018-05-17,13.12
2018-05-18,13.16
2018-05-22,13.06
2018-05-23,12.95
2018-05-24,12.72
2018-05-25,12.65
2018-05-28,12.65
2018-05-29,12.55
2018-05-30,12.33
2018-05-31,12.39
2018-06-01,12.4
2018-06-04,12.64
2018-06-05,12.57
2018-06-06,12.61
2018-06-07,12.7
2018-06-08,12.6
2018-06-11,12.61
2018-06-12,12.62
2018-06-13,12.67
2018-06-14,12.61
2018-06-15,12.59
2018-06-18,12.39
2018-06-19,12.26
2018-06-20,12.29
2018-06-21,12.2
2018-06-22,12.13
2018-06-25,12.08
2018-06-26,12.15
2018-06-27,12.09
2018-06-28,12.09
2018-06-29,12.15
2018-07-02,11.93
2018-07-03,11.89
2018-07-04,11.88
2018-07-05,11.77
2018-07-06,11.91
2018-07-09,11.97
2018-07-10,12.03
2018-07-11,11.92
2018-07-13,12.02
2018-07-17,12.16
2018-07-18,12.21
2018-07-19,12.27
2018-07-20,12.22
2018-07-23,12.24
2018-07-24,12.34
2018-07-25,12.38
2018-07-26,12.46
2018-07-27,12.47
2018-07-30,12.54
2018-07-31,12.44
2018-08-01,12.61
2018-08-02,12.49
2018-08-03,12.44
2018-08-06,12.38
2018-08-07,12.47
2018-08-08,12.5
2018-08-09,12.46
2018-08-10,12.33
2018-08-13,12.14
2018-08-14,12.17
2018-08-16,12.05
2018-08-17,12.18
2018-08-20,12.16
2018-08-21,12.15
2018-08-22,12.3
2018-08-23,12.28
2018-08-24,12.27
2018-08-27,12.37
2018-08-28,12.45
2018-08-29,12.57
2018-08-30,12.47
2018-08-31,12.38
2018-09-03,12.23
2018-09-04,12.17
2018-09-05,12.09
2018-09-06,12.03
2018-09-07,11.98
2018-09-10,12.0
2018-09-11,12.03
2018-09-12,11.96
2018-09-13,12.12
2018-09-14,12.26
2018-09-18,12.51
2018-09-19,12.7
2018-09-20,12.75
2018-09-21,12.95
2018-09-25,13.02
2018-09-26,13.01
2018-09-27,12.95
2018-09-28,13.05
2018-10-01,13.07
2018-10-02,13.1
2018-10-03,12.93
2018-10-04,13.04
2018-10-05,13.05
2018-10-09,12.84
2018-10-10,12.87
2018-10-11,12.62
2018-10-12,12.42
2018-10-15,12.26
2018-10-16,12.41
2018-10-17,12.54
2018-10-18,12.52
2018-10-19,12.4
2018-10-22,12.44
2018-10-23,12.12
2018-10-24,12.12
2018-10-25,11.94
2018-10-26,11.86
2018-10-29,11.91
2018-10-30,11.92
2018-10-31,12.18
2018-11-02,12.28
2018-11-05,12.18
2018-11-06,12.35
2018-11-07,12.24
2018-11-08,12.4
2018-11-09,12.38
2018-11-12,12.23
2018-11-13,12.05
2018-11-14,12.09
2018-11-15,12.04
2018-11-16,12.01
2018-11-19,11.94
2018-11-20,11.71
2018-11-21,11.77
2018-11-22,11.84
2018-11-26,11.95
2018-11-27,11.99
2018-11-28,12.01
2018-11-29,12.02
2018-11-30,12.01
2018-12-03,12.18
2018-12-04,11.95
2018-12-05,11.86
2018-12-06,11.59
2018-12-07,11.73
2018-12-10,11.54
2018-12-11,11.51
2018-12-12,11.56
2018-12-13,11.71
2018-12-14,11.55
2018-12-17,11.43
2018-12-18,11.38
2018-12-19,11.33
2018-12-20,10.99
2018-12-21,10.76
2018-12-27,10.68
2018-12-28,10.81
2019-01-04,10.79
2019-01-07,11.07
2019-01-08,11.17
2019-01-09,11.29
2019-01-10,11.28
2019-01-11,11.41
2019-01-15,11.51
2019-01-16,11.44
2019-01-17,11.5
2019-01-18,11.63
2019-01-21,11.77
2019-01-22,11.67
2019-01-23,11.64
2019-01-24,11.71
2019-01-25,11.83
2019-01-28,11.78
2019-01-29,11.75
2019-01-30,11.69
2019-01-31,11.84
2019-02-01,11.73
2019-02-04,11.85
2019-02-05,11.85
2019-02-06,11.93
2019-02-07,11.85
2019-02-08,11.59
2019-02-12,11.78
2019-02-13,11.92
2019-02-14,11.92
2019-02-15,11.91
2019-02-18,11.99
2019-02-19,11.99
2019-02-20,12.01
2019-02-21,12.03
2019-02-22,11.99
2019-02-25,12.07
2019-02-26,12.04
2019-02-27,12.08
2019-02-28,11.95
2019-03-01,11.97
2019-03-04,12.03
2019-03-05,11.96
2019-03-06,11.94
2019-03-07,11.78
2019-03-08,11.51
2019-03-11,11.6
2019-03-12,11.81
2019-03-13,11.69
2019-03-14,11.66
2019-03-15,11.74
2019-03-18,11.78
2019-03-19,11.81
2019-03-20,11.82
2019-03-22,11.7
2019-03-25,11.56
2019-03-26,11.84
2019-03-27,11.88
2019-03-28,11.71
2019-03-29,11.74
2019-04-01,11.97
2019-04-02,12.04
2019-04-03,12.13
2019-04-04,12.13
2019-04-05,12.23
2019-04-08,12.14
2019-04-09,12.13
2019-04-10,12.04
2019-04-11,11.98
2019-04-12,12.06
2019-04-15,12.14
2019-04-16,12.13
2019-04-17,12.26
2019-04-18,12.15
2019-04-23,12.08
2019-04-24,11.9
2019-04-25,11.94
2019-04-26,11.94
2019-05-07,11.87
2019-05-08,11.7
2019-05-10,11.43
2019-05-13,11.19
2019-05-14,11.27
2019-05-15,11.14
2019-05-16,11.21
2019-05-17,11.18
2019-05-20,11.12
2019-05-21,11.2
2019-05-22,11.17
2019-05-23,11.01
2019-05-24,11.14
2019-05-27,11.19
2019-05-28,11.26
2019-05-29,11.21
2019-05-31,11.01
2019-06-03,10.89
2019-06-04,10.98
2019-06-05,11.23
2019-06-06,11.13
2019-06-07,11.21
2019-06-11,11.45
2019-06-12,11.38
2019-06-13,11.27
2019-06-14,11.29
2019-06-17,11.24
2019-06-18,11.32
2019-06-19,11.43
2019-06-20,11.43
2019-06-21,11.37
2019-06-24,11.39
2019-06-25,11.38
2019-06-26,11.4
2019-06-27,11.58
2019-06-28,11.57
2019-07-01,11.78
2019-07-02,11.85
2019-07-03,11.75
2019-07-04,11.83
2019-07-05,11.85
2019-07-08,11.8
2019-07-09,11.77
2019-07-10,11.72
2019-07-11,11.76
2019-07-12,11.74
2019-07-16,11.68
2019-07-17,11.65
2019-07-18,11.4
2019-07-19,11.58
2019-07-22,11.56
2019-07-23,11.65
2019-07-24,11.67
2019-07-25,11.69
2019-07-26,11.61
2019-07-29,11.55
2019-07-30,11.6
2019-07-31,11.47
2019-08-01,11.54
2019-08-02,11.17
2019-08-06,10.85
2019-08-07,10.69
2019-08-08,10.79
2019-08-09,10.78
2019-08-14,10.47
2019-08-16,10.53
2019-08-19,10.62
2019-08-20,10.71
2019-08-21,10.63
2019-08-22,10.64
2019-08-23,10.69
2019-08-26,10.6
2019-08-27,10.58
2019-08-28,10.62
2019-08-29,10.74
2019-08-30,10.79
2019-09-02,10.75
2019-09-03,10.83
2019-09-04,10.79
2019-09-05,11.05
2019-09-06,11.13
2019-09-09,11.19
2019-09-10,11.43
2019-09-11,11.75
2019-09-12,11.83
2019-09-13,11.9
2019-09-17,11.91
2019-09-18,11.81
2019-09-19,11.83
2019-09-20,11.84
2019-09-24,11.82
2019-09-25,11.82
2019-09-26,11.92
2019-09-27,11.86
2019-09-30,11.73
2019-10-01,11.95
2019-10-02,11.73
2019-10-03,11.69
2019-10-04,11.7
2019-10-07,11.67
2019-10-08,11.61
2019-10-09,11.65
2019-10-10,11.71
2019-10-11,12.01
2019-10-15,12.09
2019-10-16,12.18
2019-10-17,12.15
2019-10-18,12.14
2019-10-21,12.15
2019-10-23,12.26
2019-10-24,12.35
2019-10-25,12.33
2019-10-28,12.39
2019-10-29,12.59
2019-10-30,12.51
2019-10-31,12.36
2019-11-06,12.87
2019-11-07,13.02
2019-11-08,13.0
2019-11-11,13.02
2019-11-12,13.1
2019-11-13,12.99
2019-11-14,12.94
2019-11-15,13.0
2019-11-18,12.98
2019-11-20,12.87
2019-11-21,12.84
2019-11-22,12.86
2019-11-25,12.97
2019-11-26,12.94
2019-11-27,12.99
2019-11-28,12.99
2019-11-29,12.93
2019-12-02,12.92
2019-12-03,12.79
2019-12-04,13.02
2019-12-05,13.08
2019-12-06,13.22
2019-12-09,13.22
2019-12-10,13.21
2019-12-11,13.17
2019-12-12,13.12
2019-12-13,13.39
2019-12-16,13.36
2019-12-17,13.45
2019-12-18,13.43
2019-12-19,13.41
2019-12-20,13.38
2019-12-23,13.32
2019-12-27,13.35
2019-12-30,13.16
2020-01-06,13.1
2020-01-07,13.27
2020-01-08,13.22
2020-01-09,13.31
2020-01-10,13.33
2020-01-14,13.38
2020-01-15,13.31
2020-01-16,13.28
2020-01-17,13.44
2020-01-20,13.49
2020-01-21,13.4
2020-01-22,13.41
2020-01-23,13.27
2020-01-24,13.27
2020-01-27,13.02
2020-01-28,12.95
2020-01-29,13.04
2020-01-30,12.82
2020-01-31,12.67
2020-02-03,12.67
2020-02-04,12.96
2020-02-05,13.13
2020-02-06,13.25
2020-02-07,13.16
2020-02-10,13.07
2020-02-12,13.06
2020-02-13,12.99
2020-02-14,12.84
2020-02-17,12.72
2020-02-18,12.65
2020-02-19,12.69
2020-02-20,12.63
2020-02-21,12.51
2020-02-25,11.94
2020-02-26,11.97
2020-02-27,11.47
2020-02-28,10.95
2020-03-02,11.01
2020-03-03,11.07
2020-03-04,11.03
2020-03-05,10.89
2020-03-06,10.37
2020-03-09,9.39
2020-03-10,9.66
2020-03-11,9.76
2020-03-12,8.77
2020-03-13,8.65
2020-03-16,8.34
2020-03-17,8.58
2020-03-18,8.53
2020-03-19,8.7
2020-03-23,8.84
