category,fund_code,name,as_of_date,nav,currency,region,target,return_1y,momentum_6m,sharpe,source_sheet
usa,,MFS全盛基金系列-MFS全盛美國密集成長基金I1(美元),2026-08-11,698.74,美元,美國,股票型,9.56,6.06,0.24,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(Y股累計美元),2026-08-11,19.44,美元,亞洲不含日本,非投資等級債券,9.52,2.8,0.77,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森美國40基金I2歐元避險,2026-08-11,94.96,歐元,美國,股票型,-34.11,-0.57,0.18,淨值+報酬率
usa,,富蘭克林坦伯頓全球投資系列美國機會基金美元A(acc),2026-08-11,40.77,美元,美國,股票型,-35.31,-1.27,0.22,淨值+報酬率
usa,,聯博-美國成長基金S1級別美元(基金之配息來源可能為本金),2026-08-11,357.96,美元,美國,股票型,-26.65,2.72,0.22,淨值+報酬率
usa,,聯博-美國永續主題基金E級別美元,2026-08-11,18.66,美元,美國,股票型,9.31,6.93,0.21,淨值+報酬率
usa,,富蘭克林坦伯頓全球投資系列穩定月收益基金日圓避險A(Mdis)-H1(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),2026-08-11,906.21,日圓,美國,平衡型,9.22,1.51,0.56,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金A5月配澳幣避險(本基金某些股份類別之配息來源可能為本金),2026-08-11,13.24,澳幣,美國,平衡型,9.2,5.43,0.36,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金A2澳幣避險,2026-08-11,24.17,澳幣,美國,平衡型,9.17,5.41,0.37,淨值+報酬率
usa,,聯博-美國成長基金I級別美元(基金之配息來源可能為本金),2026-08-11,332.74,美元,美國,股票型,-26.82,2.6,0.21,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(A股C月配息美元)(本基金之配息來源可能為本金),2026-08-11,10.13,美元,亞洲不含日本,非投資等級債券,9.13,2.69,0.73,淨值+報酬率
japan,,瀚亞投資-亞洲非投資等級債券基金Admc1(美元穩定月配)(本基金配息來源可能為本金),2026-08-11,3.998,美元,亞太不含日本,非投資等級債券,-32.12,-13.15,0.76,淨值+報酬率
healthcare,,富達基金-永續發展全球健康護理基金(A股累計美元),2026-08-11,25.64,美元,全球,健康護理股,9.06,-0.58,0.2,淨值+報酬率
japan,,瀚亞投資-亞洲非投資等級債券基金Adm(美元月配)(本基金配息來源可能為本金),2026-08-11,4.254,美元,亞太不含日本,非投資等級債券,-32.11,-13.13,0.76,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(A股累計美元),2026-08-11,16.79,美元,亞洲不含日本,非投資等級債券,9.03,2.57,0.73,淨值+報酬率
japan,,瀚亞投資-亞洲非投資等級債券基金A(美元),2026-08-11,11.277,美元,亞太不含日本,非投資等級債券,-32.1,-13.13,0.75,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(A股穩定月配息美元)(本基金之配息來源可能為本金),2026-08-11,5.204,美元,亞洲不含日本,非投資等級債券,9.02,2.57,0.72,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(A股月配息美元),2026-08-11,4.922,美元,亞洲不含日本,非投資等級債券,9.01,2.56,0.72,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(A股【F1穩定月配息】美元)(本基金之配息來源可能為本金),2026-08-11,4.595,美元,亞洲不含日本,非投資等級債券,9.01,2.56,0.72,淨值+報酬率
japan,,富達基金-亞洲非投資等級債券基金(A股H月配息澳幣避險)(本基金之配息來源可能為本金),2026-08-11,4.681,澳幣,亞洲不含日本,非投資等級債券,-25.73,-3.67,0.71,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金I2加幣避險,2026-08-11,24.62,加幣,美國,平衡型,8.89,5.17,0.36,淨值+報酬率
usa,,聯博-美國成長基金A級別歐元(基金之配息來源可能為本金),2026-08-11,227.72,歐元,美國,股票型,8.86,11.65,0.19,淨值+報酬率
japan,,瀚亞投資-亞洲非投資等級債券基金Aadmc1(澳幣避險穩定月配)(本基金配息來源可能為本金),2026-08-11,3.441,澳幣,亞太不含日本,非投資等級債券,-32.53,-13.44,0.73,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金T2美元,2026-08-11,14.08,美元,美國,平衡型,8.64,5.0,0.34,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金B2美元,2026-08-11,41.01,美元,美國,平衡型,8.64,4.99,0.34,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金T6穩月配美元(本基金某些股份類別之配息來源可能為本金),2026-08-11,10.71,美元,美國,平衡型,8.63,5.01,0.34,淨值+報酬率
usa,,聯博-美國永續主題基金A加幣避險級別,2026-08-11,79.02,加幣,美國,股票型,8.62,6.7,0.2,淨值+報酬率
usa,,MFS全盛基金系列-MFS全盛美國密集成長基金A1(美元),2026-08-11,49.04,美元,美國,股票型,8.52,5.55,0.21,淨值+報酬率
usa,,駿利亨德森資產管理基金-駿利亨德森平衡基金I2歐元避險,2026-08-11,32.12,歐元,美國,平衡型,8.48,4.97,0.34,淨值+報酬率
china,,摩根基金-中國基金A股(美元)(累計),2026-08-11,50.74,美元,中國,股票型,-26.86,-7.89,0.15,淨值+報酬率
china,,摩根基金-中國基金A股(美元)(分派)(本基金之配息來源可能為本金),2026-08-11,77.26,美元,中國,股票型,-26.87,-7.91,0.15,淨值+報酬率
usa,,富蘭克林坦伯頓全球投資系列美國機會基金美元F(acc),2026-08-11,28.3,美元,美國,股票型,-35.96,-1.76,0.19,淨值+報酬率
hong_kong,,安聯香港股票基金-A配息類股(美元)(基金之配息來源可能為本金),2026-08-11,272.8768,美元,香港,股票型,8.34,-5.24,0.14,淨值+報酬率
usa,,聯博-美國成長基金AP(總報酬月配)級別美元(基金之配息來源可能為本金),2026-08-11,74.38,美元,美國,股票型,8.31,8.63,0.19,淨值+報酬率
